Configuration,Model,AUC,Recall,Precision,Accuracy,Specificity,Best Threshold
"Baseline (drop payer_code, drop race NaN)",Decision Tree,0.5849388155046916,0.44823459006582883,0.15815033783783783,0.6702049042660396,0.6979718480399576,0.296
"Baseline (drop payer_code, drop race NaN)",Logistic Regression,0.606112770335798,0.42908438061041293,0.17161321206318814,0.7033926771918039,0.7380808233691539,0.225
"Baseline (drop payer_code, drop race NaN)",Random Forest,0.6261164667943262,0.5703171753441053,0.16133401049602167,0.6189452468928451,0.6250945966399274,0.467
With payer_code (Unknown),Decision Tree,0.5849590821696192,0.4500299222022741,0.15337548439730778,0.6593886462882096,0.6605115786287271,0.335
With payer_code (Unknown),Logistic Regression,0.6101104435867984,0.4326750448833034,0.17621252741896173,0.7092374874034263,0.7442106856364462,0.213
With payer_code (Unknown),Random Forest,0.6242266172730679,0.594853381208857,0.15812917594654788,0.5989922741014444,0.599515665203572,0.462
With race (Unknown),Decision Tree,0.5981382660926307,0.45615067686874633,0.15584154433943292,0.6635796387520525,0.6669377495194441,0.321
With race (Unknown),Logistic Regression,0.6020393048524164,0.533254855797528,0.15107553776888444,0.6135303776683088,0.6236137808664793,0.177
With race (Unknown),Random Forest,0.6192141274881668,0.5026486168334314,0.1618957345971564,0.6541215106732348,0.6731480112376165,0.48
