iter	Passed	Remaining
413	3513	3275
414	3520	3265
415	3527	3256
416	3535	3247
417	3543	3238
418	3550	3228
419	3558	3219
420	3566	3210
421	3573	3201
422	3580	3191
423	3588	3181
424	3595	3172
425	3602	3162
426	3610	3153
427	3616	3143
428	3624	3134
429	3631	3125
430	3639	3115
431	3646	3106
432	3654	3097
433	3663	3089
434	3670	3080
435	3678	3070
436	3686	3061
437	3695	3053
438	3708	3049
439	3719	3043
440	3729	3036
441	3744	3033
442	3756	3027
443	3770	3023
444	3787	3021
445	3802	3017
446	3812	3010
447	3824	3004
448	3842	3003
449	3852	2996
450	3862	2989
451	3871	2980
452	3880	2972
453	3892	2966
454	3901	2958
455	3910	2949
456	3920	2942
457	3929	2933
458	3941	2927
459	3951	2920
460	3962	2913
461	3971	2905
462	3981	2898
463	3991	2890
464	4001	2882
465	4017	2879
466	4029	2873
467	4040	2866
468	4049	2857
469	4059	2850
470	4068	2841
471	4082	2836
472	4092	2829
473	4099	2819
474	4107	2810
475	4115	2801
476	4124	2792
477	4132	2783
478	4140	2774
479	4148	2765
480	4155	2756
481	4163	2746
482	4171	2737
483	4178	2728
484	4186	2718
485	4194	2710
486	4201	2700
487	4209	2691
488	4216	2681
489	4223	2671
490	4230	2662
491	4238	2653
492	4245	2644
493	4253	2634
494	4260	2625
495	4268	2616
496	4275	2606
497	4283	2597
498	4291	2588
499	4299	2579
500	4306	2570
501	4314	2561
502	4321	2551
503	4329	2542
504	4337	2533
505	4344	2524
506	4352	2515
507	4360	2506
508	4368	2497
509	4375	2487
510	4383	2479
511	4391	2470
512	4399	2461
513	4406	2451
514	4414	2443
515	4422	2434
516	4430	2425
517	4439	2416
518	4447	2408
519	4454	2398
520	4461	2389
521	4469	2380
522	4477	2371
523	4485	2362
524	4492	2353
525	4501	2344
526	4509	2336
527	4517	2327
528	4524	2317
529	4534	2310
530	4543	2301
531	4550	2292
532	4563	2285
533	4574	2278
534	4581	2269
535	4589	2260
536	4601	2253
537	4617	2248
538	4625	2239
539	4643	2235
540	4653	2227
541	4661	2219
542	4669	2209
543	4678	2201
544	4686	2192
545	4693	2183
546	4700	2173
547	4708	2165
548	4715	2155
549	4723	2146
550	4730	2137
551	4738	2128
552	4746	2120
553	4754	2111
554	4761	2102
555	4768	2092
556	4776	2083
557	4784	2075
558	4792	2066
559	4800	2057
560	4807	2048
561	4815	2039
562	4823	2030
563	4831	2021
564	4839	2013
565	4847	2004
566	4854	1994
567	4862	1985
568	4869	1976
569	4876	1967
570	4884	1958
571	4892	1950
572	4900	1941
573	4907	1932
574	4915	1923
575	4922	1914
576	4931	1905
577	4939	1897
578	4947	1888
579	4954	1879
580	4962	1870
581	4969	1861
582	4977	1852
583	4984	1843
584	4991	1834
585	4999	1825
586	5007	1816
587	5014	1807
588	5021	1798
589	5027	1789
590	5036	1780
591	5044	1772
592	5052	1763
593	5059	1754
594	5067	1745
595	5075	1737
596	5082	1728
597	5090	1719
598	5097	1710
599	5104	1701
600	5112	1692
601	5119	1683
602	5127	1675
603	5134	1666
604	5142	1657
605	5150	1648
606	5157	1639
607	5164	1630
608	5171	1621
609	5178	1613
610	5185	1604
611	5192	1594
612	5199	1586
613	5206	1577
614	5214	1568
615	5220	1559
616	5227	1550
617	5234	1541
618	5241	1532
619	5249	1524
620	5257	1515
621	5264	1506
622	5271	1497
623	5278	1488
624	5284	1479
625	5291	1470
626	5298	1461
627	5305	1453
628	5313	1444
629	5321	1435
630	5329	1427
631	5337	1418
632	5344	1410
633	5352	1401
634	5363	1393
635	5372	1385
636	5381	1376
637	5390	1368
638	5398	1360
639	5407	1351
640	5415	1343
641	5422	1334
642	5431	1326
643	5441	1318
644	5449	1309
645	5458	1301
646	5467	1292
647	5475	1284
648	5482	1275
649	5488	1266
650	5496	1257
651	5504	1249
652	5511	1240
653	5517	1231
654	5528	1223
655	5536	1215
656	5544	1206
657	5553	1198
658	5564	1190
659	5572	1182
660	5582	1173
661	5591	1165
662	5600	1157
663	5610	1149
664	5623	1141
665	5639	1134
666	5651	1126
667	5659	1118
668	5666	1109
669	5673	1100
670	5681	1092
671	5688	1083
672	5697	1075
673	5705	1066
674	5713	1058
675	5720	1049
676	5727	1040
677	5736	1032
678	5743	1023
679	5750	1014
680	5757	1006
681	5764	997
682	5771	988
683	5779	980
684	5785	971
685	5801	964
686	5825	958
687	5840	950
688	5851	942
689	5860	934
690	5868	925
691	5878	917
692	5886	908
693	5894	900
694	5901	891
695	5909	882
696	5918	874
697	5927	866
698	5936	857
699	5943	849
700	5953	840
701	5961	832
702	5967	823
703	5975	814
704	5984	806
705	5994	798
706	6005	789
707	6016	781
708	6028	773
709	6037	765
710	6047	757
711	6058	748
712	6067	740
713	6078	732
714	6086	723
715	6095	715
716	6104	706
717	6113	698
718	6120	689
719	6127	680
720	6135	672
721	6143	663
722	6150	655
723	6158	646
724	6165	637
725	6172	629
726	6180	620
727	6187	611
728	6195	603
729	6202	594
730	6209	586
731	6216	577
732	6223	568
733	6230	560
734	6237	551
735	6244	542
736	6251	534
737	6258	525
738	6265	517
739	6272	508
740	6279	499
741	6285	491
742	6292	482
743	6299	474
744	6306	465
745	6313	457
746	6320	448
747	6327	439
748	6335	431
749	6343	422
750	6350	414
751	6358	405
752	6365	397
753	6373	388
754	6380	380
755	6387	371
756	6395	363
757	6402	354
758	6409	346
759	6416	337
760	6424	329
761	6431	320
762	6439	312
763	6447	303
764	6454	295
765	6462	286
766	6470	278
767	6478	269
768	6484	261
769	6491	252
770	6498	244
771	6504	235
772	6512	227
773	6518	218
774	6525	210
775	6534	202
776	6542	193
777	6550	185
778	6558	176
779	6565	168
780	6573	159
781	6580	151
782	6587	143
783	6594	134
784	6601	126
785	6608	117
786	6616	109
787	6623	100
788	6631	92
789	6639	84
790	6647	75
791	6655	67
792	6663	58
793	6672	50
794	6681	42
795	6692	33
796	6700	25
797	6710	16
798	6717	8
799	6727	0
